FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
75,P,80.0,72,-1,FWD_LOST,0.0,505.74,NO,5.9564,5.9907
76,B,100.0,75,78,BOTH_LOST,0.0,472.74,NO,5.9907,5.9907
77,B,100.0,75,78,BOTH_LOST,0.0,439.74,NO,5.9907,5.9907
78,P,73.3,75,-1,FWD_LOST,0.0,504.91,NO,5.9907,6.0889
79,B,60.0,78,81,BOTH_LOST,0.0,506.09,NO,6.1231,6.1231
80,B,80.0,78,81,BOTH_LOST,0.0,503.50,NO,6.1231,6.1535
81,P,93.3,78,-1,FWD_LOST,0.0,504.49,NO,6.1535,6.1875
82,B,60.0,81,84,BOTH_LOST,0.0,505.49,NO,6.2215,6.2215
83,B,80.0,81,84,BOTH_LOST,0.0,508.83,NO,6.2578,6.2578
84,P,86.7,81,-1,FWD_LOST,0.0,504.50,NO,6.2578,6.2865
85,B,80.0,84,87,BOTH_LOST,0.0,488.89,NO,6.2865,6.3039
86,B,80.0,84,87,BOTH_LOST,0.0,501.21,NO,6.3206,6.3492
87,P,83.3,84,-1,FWD_LOST,0.0,504.57,NO,6.3492,6.3856
88,B,60.0,87,90,BOTH_LOST,0.0,505.45,NO,6.4195,6.4195
89,B,100.0,87,90,BOTH_LOST,0.0,472.45,NO,6.4195,6.4195
90,P,83.3,87,-1,FWD_LOST,0.0,503.68,NO,6.4195,6.4837
91,B,100.0,90,93,BOTH_LOST,0.0,470.68,NO,6.4837,6.4837
92,B,80.0,90,93,BOTH_LOST,0.0,506.25,NO,6.4837,6.5522
93,P,83.3,90,-1,FWD_LOST,0.0,503.37,NO,6.5522,6.5824
94,B,60.0,93,96,BOTH_LOST,0.0,504.62,NO,6.5824,6.6166
95,B,100.0,93,96,BOTH_LOST,0.0,471.62,NO,6.6166,6.6166
96,P,90.0,93,-1,FWD_LOST,0.0,502.83,NO,6.6166,6.6808
97,B,80.0,96,99,BOTH_LOST,0.0,504.17,NO,6.7152,6.7152
98,B,60.0,96,99,BOTH_LOST,0.0,505.07,NO,6.7152,6.7491
99,P,90.0,96,-1,FWD_LOST,0.0,502.73,NO,6.7610,6.7797
100,B,100.0,99,102,BOTH_LOST,0.0,469.73,NO,6.7797,6.7797
101,B,40.0,99,102,BOTH_LOST,0.0,504.87,NO,6.7797,6.8479
102,P,73.3,99,-1,FWD_LOST,0.0,502.00,NO,6.8479,6.8780
103,B,80.0,102,105,BOTH_LOST,0.0,503.41,NO,6.9124,6.9124
104,B,80.0,102,105,BOTH_LOST,0.0,504.74,NO,6.9124,6.9467
105,P,66.7,102,-1,FWD_LOST,0.0,502.44,NO,6.9467,6.9774
106,B,100.0,105,108,BOTH_LOST,0.0,475.45,NO,6.9774,6.9835
107,B,100.0,105,108,BOTH_LOST,0.0,465.02,NO,7.0060,7.0060
108,P,80.0,105,-1,FWD_LOST,0.0,501.56,NO,7.0340,7.0756
109,B,80.0,108,111,BOTH_LOST,0.0,502.60,NO,7.1041,7.1096
110,B,80.0,108,111,BOTH_LOST,0.0,503.51,NO,7.1096,7.1435
111,P,86.7,108,-1,FWD_LOST,0.0,506.50,NO,7.1435,7.1795
112,B,80.0,111,114,BOTH_LOST,0.0,502.14,NO,7.2081,7.2081
113,B,80.0,111,114,BOTH_LOST,0.0,503.10,NO,7.2081,7.2421
114,P,90.0,111,-1,FWD_LOST,0.0,504.11,NO,7.2421,7.2761
115,B,60.0,114,117,BOTH_LOST,0.0,501.53,NO,7.3065,7.3065
116,B,80.0,114,117,BOTH_LOST,0.0,502.48,NO,7.3065,7.3405
117,P,83.3,114,-1,FWD_LOST,0.0,503.42,NO,7.3405,7.3744
118,B,80.0,117,120,BOTH_LOST,0.0,506.65,NO,7.4107,7.4107
