
=== Flow Monitor Statistics ===
Flow 1:
  Tx Packets: 3191
  Rx Packets: 3191
Total Tx: 3191, Total Rx: 3191
============================


=== Simulation Configuration ===
A-MPDU: ON
EDCA: OFF
Packet Size: 100 bytes
GOP Size: 60
Distance: 20 m
Simulation Time: 10 s
================================


=== IP Address Assignment ===
Server 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.1
AP 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.2
  Interface 2: 10.1.2.1
STA 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.2.2

=== Routing Tables ===
Server 0 has routing protocol: YES
=====================


Statistics saved to: /Users/akira/workspace/ns-3.46.1/scratch/video-sim-log/stats_ampdu_on_edca_off_d20m.csv

FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
74,B,100.0,72,75,OK,100.0,1.37,YES,5.4531,5.4534
75,P,100.0,72,-1,OK,100.0,2.06,YES,5.4861,5.4871
76,B,100.0,75,78,OK,100.0,1.40,YES,5.5191,5.5194
77,B,100.0,75,78,OK,100.0,1.43,YES,5.5521,5.5524
78,P,100.0,75,-1,OK,100.0,2.09,YES,5.5851,5.5861
79,B,100.0,78,81,OK,100.0,1.41,YES,5.6181,5.6184
80,B,100.0,78,81,OK,100.0,1.34,YES,5.6511,5.6513
81,P,100.0,78,-1,OK,100.0,2.00,YES,5.6841,5.6850
82,B,100.0,81,84,OK,100.0,1.37,YES,5.7171,5.7174
83,B,100.0,81,84,OK,100.0,1.43,YES,5.7501,5.7504
84,P,100.0,81,-1,OK,100.0,2.06,YES,5.7831,5.7841
85,B,100.0,84,87,OK,100.0,1.35,YES,5.8161,5.8164
86,B,100.0,84,87,OK,100.0,1.41,YES,5.8491,5.8494
87,P,100.0,84,-1,OK,100.0,2.07,YES,5.8821,5.8831
88,B,100.0,87,90,OK,100.0,1.35,YES,5.9151,5.9154
89,B,100.0,87,90,OK,100.0,1.37,YES,5.9481,5.9484
90,P,100.0,87,-1,OK,100.0,2.12,YES,5.9811,5.9821
91,B,100.0,90,93,OK,100.0,1.39,YES,6.0141,6.0144
92,B,100.0,90,93,OK,100.0,1.32,YES,6.0471,6.0473
93,P,100.0,90,-1,OK,100.0,1.99,YES,6.0801,6.0810
94,B,100.0,93,96,OK,100.0,1.43,YES,6.1131,6.1134
95,B,100.0,93,96,OK,100.0,1.34,YES,6.1461,6.1463
96,P,100.0,93,-1,OK,100.0,2.15,YES,6.1791,6.1801
97,B,100.0,96,99,OK,100.0,1.44,YES,6.2121,6.2124
98,B,100.0,96,99,OK,100.0,1.39,YES,6.2451,6.2454
99,P,100.0,96,-1,OK,100.0,2.04,YES,6.2781,6.2790
100,B,100.0,99,102,OK,100.0,1.41,YES,6.3111,6.3114
101,B,100.0,99,102,OK,100.0,1.40,YES,6.3441,6.3444
102,P,100.0,99,-1,OK,100.0,1.98,YES,6.3771,6.3780
103,B,100.0,102,105,OK,100.0,1.39,YES,6.4101,6.4104
104,B,100.0,102,105,OK,100.0,1.34,YES,6.4431,6.4433
105,P,100.0,102,-1,OK,100.0,2.17,YES,6.4761,6.4772
106,B,100.0,105,108,OK,100.0,1.38,YES,6.5091,6.5094
107,B,100.0,105,108,OK,100.0,1.40,YES,6.5421,6.5424
108,P,100.0,105,-1,OK,100.0,2.11,YES,6.5751,6.5761
109,B,100.0,108,111,OK,100.0,1.43,YES,6.6081,6.6084
110,B,100.0,108,111,OK,100.0,1.36,YES,6.6411,6.6414
111,P,100.0,108,-1,OK,100.0,2.06,YES,6.6741,6.6751
112,B,100.0,111,114,OK,100.0,1.34,YES,6.7071,6.7073
113,B,100.0,111,114,OK,100.0,1.40,YES,6.7401,6.7404
114,P,100.0,111,-1,OK,100.0,2.12,YES,6.7731,6.7741
115,B,100.0,114,117,OK,100.0,1.43,YES,6.8061,6.8064
116,B,100.0,114,117,OK,100.0,1.37,YES,6.8391,6.8394
117,P,100.0,114,-1,OK,100.0,2.07,YES,6.8721,6.8731
118,B,100.0,117,120,OK,100.0,1.39,YES,6.9051,6.9054
119,P,100.0,117,-1,OK,100.0,1.98,YES,6.9381,6.9390
120,I,100.0,-1,-1,N/A,100.0,3.41,YES,6.9711,6.9734
121,B,100.0,120,123,OK,100.0,1.41,YES,7.0041,7.0044
122,B,100.0,120,123,OK,100.0,1.34,YES,7.0371,7.0373
123,P,100.0,120,-1,OK,100.0,2.12,YES,7.0701,7.0711
124,B,100.0,123,126,OK,100.0,1.37,YES,7.1031,7.1034
125,B,100.0,123,126,OK,100.0,1.41,YES,7.1361,7.1364
126,P,100.0,123,-1,OK,100.0,2.05,YES,7.1691,7.1701
127,B,100.0,126,129,OK,100.0,1.39,YES,7.2021,7.2024
128,B,100.0,126,129,OK,100.0,1.42,YES,7.2351,7.2354
129,P,100.0,126,-1,OK,100.0,2.06,YES,7.2681,7.2691
130,B,100.0,129,132,OK,100.0,1.38,YES,7.3011,7.3014
131,B,100.0,129,132,OK,100.0,1.38,YES,7.3341,7.3344
132,P,100.0,129,-1,OK,100.0,1.92,YES,7.3671,7.3679
133,B,100.0,132,135,OK,100.0,1.31,YES,7.4001,7.4003
134,B,100.0,132,135,OK,100.0,1.45,YES,7.4331,7.4334
135,P,100.0,132,-1,OK,100.0,2.11,YES,7.4661,7.4671
136,B,100.0,135,138,OK,100.0,1.35,YES,7.4991,7.4993
137,B,100.0,135,138,OK,100.0,1.34,YES,7.5321,7.5323
138,P,100.0,135,-1,OK,100.0,1.98,YES,7.5651,7.5660
139,B,100.0,138,141,OK,100.0,1.43,YES,7.5981,7.5984
140,B,100.0,138,141,OK,100.0,1.35,YES,7.6311,7.6314
141,P,100.0,138,-1,OK,100.0,1.92,YES,7.6641,7.6649
142,B,100.0,141,144,OK,100.0,1.31,YES,7.6971,7.6973
143,B,100.0,141,144,OK,100.0,1.39,YES,7.7301,7.7304
144,P,100.0,141,-1,OK,100.0,1.92,YES,7.7631,7.7639
145,B,100.0,144,147,OK,100.0,1.32,YES,7.7961,7.7963
146,B,100.0,144,147,OK,100.0,1.42,YES,7.8291,7.8294
147,P,100.0,144,-1,OK,100.0,2.13,YES,7.8621,7.8631
148,B,100.0,147,150,OK,100.0,1.37,YES,7.8951,7.8954
149,B,100.0,147,150,OK,100.0,1.31,YES,7.9281,7.9283
150,P,100.0,147,-1,OK,100.0,1.92,YES,7.9611,7.9619
151,B,100.0,150,153,OK,100.0,2.26,YES,7.9952,7.9953
152,B,100.0,150,153,OK,100.0,1.39,YES,8.0271,8.0274
153,P,100.0,150,-1,OK,100.0,2.01,YES,8.0601,8.0610
154,B,100.0,153,156,OK,100.0,1.32,YES,8.0931,8.0933
155,B,100.0,153,156,OK,100.0,1.38,YES,8.1261,8.1264
156,P,100.0,153,-1,OK,100.0,2.17,YES,8.1591,8.1602
157,B,100.0,156,159,OK,100.0,1.41,YES,8.1921,8.1924
158,B,100.0,156,159,OK,100.0,1.40,YES,8.2251,8.2254
159,P,100.0,156,-1,OK,100.0,2.04,YES,8.2581,8.2590
160,B,100.0,159,162,OK,100.0,1.32,YES,8.2911,8.2913
161,B,100.0,159,162,OK,100.0,1.44,YES,8.3241,8.3244
162,P,100.0,159,-1,OK,100.0,2.11,YES,8.3571,8.3581
163,B,100.0,162,165,OK,100.0,1.43,YES,8.3901,8.3904
164,B,100.0,162,165,OK,100.0,1.38,YES,8.4231,8.4234
165,P,100.0,162,-1,OK,100.0,2.20,YES,8.4561,8.4572
166,B,100.0,165,168,OK,100.0,1.43,YES,8.4891,8.4894
167,B,100.0,165,168,OK,100.0,1.32,YES,8.5221,8.5223
168,P,100.0,165,-1,OK,100.0,2.17,YES,8.5551,8.5562
169,B,100.0,168,171,OK,100.0,1.41,YES,8.5881,8.5884
170,B,100.0,168,171,OK,100.0,1.32,YES,8.6211,8.6213
171,P,100.0,168,-1,OK,100.0,2.17,YES,8.6541,8.6552
172,B,100.0,171,174,OK,100.0,1.33,YES,8.6871,8.6873
173,B,100.0,171,174,OK,100.0,1.43,YES,8.7201,8.7204
174,P,100.0,171,-1,OK,100.0,2.14,YES,8.7531,8.7541
175,B,100.0,174,177,OK,100.0,1.35,YES,8.7861,8.7863
176,B,100.0,174,177,OK,100.0,1.39,YES,8.8191,8.8194
177,P,100.0,174,-1,OK,100.0,2.16,YES,8.8521,8.8532
178,B,100.0,177,180,OK,100.0,1.32,YES,8.8851,8.8853
179,P,100.0,177,-1,OK,100.0,2.10,YES,8.9181,8.9191
180,I,100.0,-1,-1,N/A,100.0,3.77,YES,8.9511,8.9538
181,B,100.0,180,183,OK,100.0,1.34,YES,8.9841,8.9843
182,B,100.0,180,183,OK,100.0,3.30,YES,9.0171,9.0193
183,P,100.0,180,-1,OK,100.0,2.03,YES,9.0501,9.0510
184,B,100.0,183,186,OK,100.0,1.40,YES,9.0831,9.0834
185,B,100.0,183,186,OK,100.0,1.38,YES,9.1161,9.1164
186,P,100.0,183,-1,OK,100.0,2.13,YES,9.1491,9.1501
187,B,100.0,186,189,OK,100.0,1.44,YES,9.1821,9.1824
188,B,100.0,186,189,OK,100.0,1.39,YES,9.2151,9.2154
189,P,100.0,186,-1,OK,100.0,2.19,YES,9.2481,9.2492
190,B,100.0,189,192,OK,100.0,1.45,YES,9.2811,9.2814
191,B,100.0,189,192,OK,100.0,1.42,YES,9.3141,9.3144
192,P,100.0,189,-1,OK,100.0,2.13,YES,9.3471,9.3481
193,B,100.0,192,195,OK,100.0,1.33,YES,9.3801,9.3803
194,B,100.0,192,195,OK,100.0,1.34,YES,9.4131,9.4133
195,P,100.0,192,-1,OK,100.0,2.04,YES,9.4461,9.4470
196,B,100.0,195,198,OK,100.0,1.32,YES,9.4791,9.4793
197,B,100.0,195,198,OK,100.0,1.39,YES,9.5121,9.5124
198,P,100.0,195,-1,OK,100.0,2.08,YES,9.5451,9.5461
199,B,100.0,198,201,OK,100.0,1.35,YES,9.5781,9.5783
200,B,100.0,198,201,OK,100.0,1.33,YES,9.6111,9.6113
201,P,100.0,198,-1,OK,100.0,1.93,YES,9.6441,9.6449
202,B,100.0,201,204,OK,100.0,1.41,YES,9.6771,9.6774
203,B,100.0,201,204,OK,100.0,1.39,YES,9.7101,9.7104
