FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
74,B,100.0,72,75,OK,100.0,2.06,YES,5.4532,5.4541
75,P,100.0,72,-1,OK,100.0,6.18,YES,5.4862,5.4912
76,B,100.0,75,78,OK,100.0,2.11,YES,5.5192,5.5201
77,B,100.0,75,78,OK,100.0,2.04,YES,5.5522,5.5530
78,P,100.0,75,-1,OK,100.0,6.11,YES,5.5852,5.5901
79,B,100.0,78,81,OK,100.0,2.10,YES,5.6182,5.6191
80,B,100.0,78,81,OK,100.0,2.06,YES,5.6512,5.6521
81,P,100.0,78,-1,OK,100.0,6.11,YES,5.6842,5.6891
82,B,100.0,81,84,OK,100.0,2.12,YES,5.7172,5.7181
83,B,100.0,81,84,OK,100.0,2.10,YES,5.7503,5.7511
84,P,100.0,81,-1,OK,100.0,6.10,YES,5.7832,5.7881
85,B,100.0,84,87,OK,100.0,2.12,YES,5.8162,5.8171
86,B,100.0,84,87,OK,100.0,2.08,YES,5.8492,5.8501
87,P,100.0,84,-1,OK,100.0,6.08,YES,5.8822,5.8871
88,B,100.0,87,90,OK,100.0,2.10,YES,5.9152,5.9161
89,B,100.0,87,90,OK,100.0,2.05,YES,5.9482,5.9490
90,P,100.0,87,-1,OK,100.0,6.35,YES,5.9812,5.9864
91,B,100.0,90,93,OK,100.0,2.12,YES,6.0142,6.0151
92,B,100.0,90,93,OK,100.0,4.15,YES,6.0472,6.0501
93,P,100.0,90,-1,OK,100.0,6.16,YES,6.0802,6.0852
94,B,100.0,93,96,OK,100.0,2.14,YES,6.1132,6.1141
95,B,100.0,93,96,OK,100.0,2.07,YES,6.1462,6.1471
96,P,100.0,93,-1,OK,100.0,6.09,YES,6.1792,6.1841
97,B,100.0,96,99,OK,100.0,2.15,YES,6.2122,6.2132
98,B,100.0,96,99,OK,100.0,2.04,YES,6.2452,6.2460
99,P,100.0,96,-1,OK,100.0,6.17,YES,6.2782,6.2832
100,B,100.0,99,102,OK,100.0,2.04,YES,6.3112,6.3120
101,B,100.0,99,102,OK,100.0,2.08,YES,6.3442,6.3451
102,P,100.0,99,-1,OK,100.0,6.16,YES,6.3773,6.3822
103,B,100.0,102,105,OK,100.0,2.13,YES,6.4102,6.4111
104,B,100.0,102,105,OK,100.0,2.14,YES,6.4432,6.4441
105,P,100.0,102,-1,OK,100.0,6.15,YES,6.4762,6.4811
