PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.47298,9,P,8,0,AC BE,YES,68
3.47298,9,P,11,0,AC BE,YES,68
3.47862,6,P,2,0,AC BE,YES,69
3.47862,7,B,1,0,AC BE,YES,69
3.47862,9,P,20,0,AC BE,YES,69
3.48431,9,P,22,0,AC BE,YES,70
3.48431,9,P,25,0,AC BE,YES,70
3.48431,11,B,0,0,AC BE,YES,70
3.48999,6,P,28,0,AC BE,YES,71
3.48999,9,P,14,0,AC BE,YES,71
3.48999,10,B,3,0,AC BE,YES,71
3.49751,10,B,2,0,AC BE,YES,72
3.50317,0,I,29,0,AC BE,YES,73
3.50877,6,P,29,0,AC BE,YES,74
3.50877,9,P,24,0,AC BE,YES,74
3.51439,9,P,6,0,AC BE,YES,75
3.51439,12,P,6,0,AC BE,YES,75
3.52016,3,P,13,0,AC BE,YES,76
3.52016,6,P,25,0,AC BE,YES,76
3.52016,9,P,23,0,AC BE,YES,76
3.52016,10,B,1,0,AC BE,YES,76
3.52016,11,B,3,0,AC BE,YES,76
3.52579,7,B,2,0,AC BE,YES,77
3.52579,12,P,8,0,AC BE,YES,77
3.53147,9,P,7,0,AC BE,YES,78
3.5428,12,P,16,0,AC BE,YES,79
3.56005,12,P,0,0,AC BE,YES,80
3.57148,12,P,17,0,AC BE,YES,81
3.58309,6,P,20,0,AC BE,YES,82
3.5887,3,P,22,0,AC BE,YES,83
3.5887,3,P,24,0,AC BE,YES,83
3.5887,9,P,3,0,AC BE,YES,83
3.5887,9,P,28,0,AC BE,YES,83
3.5887,12,P,1,0,AC BE,YES,83
3.59433,12,P,2,0,AC BE,YES,84
3.59433,12,P,22,0,AC BE,YES,84
3.60782,12,P,13,0,AC BE,YES,85
3.60782,12,P,19,0,AC BE,YES,85
3.61346,9,P,19,0,AC BE,YES,86
3.61346,12,P,18,0,AC BE,YES,86
3.61346,12,P,21,0,AC BE,YES,86
3.61934,6,P,6,0,AC BE,YES,87
3.625,9,P,27,0,AC BE,YES,88
3.625,13,B,2,0,AC BE,YES,88
3.63056,12,P,12,0,AC BE,YES,89
3.63625,12,P,28,0,AC BE,YES,90
3.64184,12,P,7,0,AC BE,YES,91
3.64184,12,P,20,0,AC BE,YES,91
3.64184,14,B,2,0,AC BE,YES,91
3.64745,8,B,0,0,AC BE,YES,92
3.64745,9,P,15,0,AC BE,YES,92
3.64745,12,P,29,0,AC BE,YES,92
3.65303,9,P,29,0,AC BE,YES,93
3.65303,10,B,0,0,AC BE,YES,93
3.65303,11,B,1,0,AC BE,YES,93
3.65303,15,P,5,0,AC BE,YES,93
3.65859,10,B,4,0,AC BE,YES,94
3.66416,15,P,11,0,AC BE,YES,95
3.66977,9,P,21,0,AC BE,YES,96
3.66977,12,P,26,0,AC BE,YES,96
3.67541,9,P,13,0,AC BE,YES,97
3.67541,14,B,1,0,AC BE,YES,97
3.68103,12,P,15,0,AC BE,YES,98
3.68103,15,P,12,0,AC BE,YES,98
3.6867,11,B,4,0,AC BE,YES,99
3.6867,15,P,10,0,AC BE,YES,99
3.69228,12,P,27,0,AC BE,YES,100
3.69228,15,P,1,0,AC BE,YES,100
3.69228,15,P,2,0,AC BE,YES,100
3.69228,15,P,13,0,AC BE,YES,100
3.69228,15,P,14,0,AC BE,YES,100
3.69981,12,P,24,0,AC BE,YES,101
3.69981,14,B,0,0,AC BE,YES,101
3.70537,8,B,4,0,AC BE,YES,102
3.70537,15,P,19,0,AC BE,YES,102
3.70537,15,P,22,0,AC BE,YES,102
3.70537,15,P,23,0,AC BE,YES,102
3.71105,15,P,6,0,AC BE,YES,103
3.71105,15,P,16,0,AC BE,YES,103
3.71105,15,P,26,0,AC BE,YES,103
3.71697,13,B,0,0,AC BE,YES,104
3.71697,15,P,0,0,AC BE,YES,104
3.71697,16,B,2,0,AC BE,YES,104
3.72258,9,P,12,0,AC BE,YES,105
3.72258,15,P,9,0,AC BE,YES,105
3.72258,15,P,29,0,AC BE,YES,105
3.72813,13,B,1,0,AC BE,YES,106
3.72813,16,B,1,0,AC BE,YES,106
3.73379,16,B,0,0,AC BE,YES,107
3.73379,16,B,3,0,AC BE,YES,107
3.7394,17,B,4,0,AC BE,YES,108
3.74506,12,P,5,0,AC BE,YES,109
3.74506,15,P,8,0,AC BE,YES,109
3.75068,12,P,4,0,AC BE,YES,110
3.75068,15,P,4,0,AC BE,YES,110
3.75068,15,P,25,0,AC BE,YES,110
3.75068,18,P,5,0,AC BE,YES,110
3.75637,14,B,3,0,AC BE,YES,111
3.75637,15,P,7,0,AC BE,YES,111
3.76196,12,P,11,0,AC BE,YES,112
3.76196,18,P,13,0,AC BE,YES,112
3.76761,15,P,20,0,AC BE,YES,113
3.77322,18,P,6,0,AC BE,YES,114
3.77878,17,B,1,0,AC BE,YES,115
3.77878,18,P,2,0,AC BE,YES,115
3.78468,15,P,24,0,AC BE,YES,116
3.7903,12,P,25,0,AC BE,YES,117
3.7903,18,P,17,0,AC BE,YES,117
3.7903,18,P,19,0,AC BE,YES,117
3.79597,12,P,3,0,AC BE,YES,118
3.80354,13,B,4,0,AC BE,YES,119
3.80354,14,B,4,0,AC BE,YES,119
3.80354,18,P,9,0,AC BE,YES,119
3.80914,18,P,10,0,AC BE,YES,120
3.80914,18,P,22,0,AC BE,YES,120
3.80914,18,P,24,0,AC BE,YES,120
3.81478,11,B,2,0,AC BE,YES,121
3.81478,16,B,4,0,AC BE,YES,121
3.82034,19,B,2,0,AC BE,YES,122
3.82593,12,P,23,0,AC BE,YES,123
