FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
85,B,100.0,84,87,OK,100.0,2.90,YES,5.8162,5.8179
86,B,100.0,84,87,OK,100.0,2.81,YES,5.8492,5.8508
87,P,100.0,84,-1,OK,100.0,12.04,YES,5.8822,5.8930
88,B,100.0,87,90,OK,100.0,2.81,YES,5.9152,5.9168
89,B,100.0,87,90,OK,100.0,2.81,YES,5.9482,5.9498
90,P,100.0,87,-1,OK,100.0,12.00,YES,5.9812,5.9920
91,B,100.0,90,93,OK,100.0,2.71,YES,6.0142,6.0157
92,B,100.0,90,93,OK,100.0,4.61,YES,6.0472,6.0506
93,P,100.0,90,-1,OK,100.0,11.99,YES,6.0802,6.0910
94,B,100.0,93,96,OK,100.0,2.86,YES,6.1132,6.1149
95,B,100.0,93,96,OK,100.0,2.80,YES,6.1462,6.1478
96,P,100.0,93,-1,OK,100.0,12.35,YES,6.1792,6.1903
97,B,100.0,96,99,OK,100.0,2.81,YES,6.2122,6.2138
98,B,100.0,96,99,OK,100.0,2.85,YES,6.2453,6.2468
99,P,100.0,96,-1,OK,100.0,12.17,YES,6.2782,6.2892
100,B,100.0,99,102,OK,100.0,2.87,YES,6.3112,6.3129
101,B,100.0,99,102,OK,100.0,2.73,YES,6.3442,6.3457
102,P,100.0,99,-1,OK,100.0,12.41,YES,6.3773,6.3884
103,B,100.0,102,105,OK,100.0,2.75,YES,6.4102,6.4118
104,B,100.0,102,105,OK,100.0,2.82,YES,6.4432,6.4448
105,P,100.0,102,-1,OK,100.0,12.20,YES,6.4762,6.4872
106,B,100.0,105,108,OK,100.0,2.86,YES,6.5092,6.5109
107,B,100.0,105,108,OK,100.0,2.60,YES,6.5422,6.5436
108,P,100.0,105,-1,OK,100.0,12.47,YES,6.5752,6.5865
109,B,100.0,108,111,OK,100.0,2.77,YES,6.6083,6.6098
110,B,100.0,108,111,OK,100.0,2.74,YES,6.6412,6.6427
111,P,100.0,108,-1,OK,100.0,11.80,YES,6.6742,6.6848
112,B,100.0,111,114,OK,100.0,2.74,YES,6.7072,6.7087
113,B,100.0,111,114,OK,100.0,2.75,YES,6.7402,6.7417
114,P,100.0,111,-1,OK,100.0,12.37,YES,6.7733,6.7844
115,B,100.0,114,117,OK,100.0,2.77,YES,6.8062,6.8078
116,B,100.0,114,117,OK,100.0,2.88,YES,6.8392,6.8409
117,P,100.0,114,-1,OK,100.0,12.33,YES,6.8722,6.8833
118,B,100.0,117,120,OK,100.0,2.89,YES,6.9052,6.9069
119,P,100.0,117,-1,OK,100.0,12.48,YES,6.9382,6.9495
120,I,100.0,-1,-1,N/A,100.0,19.80,YES,6.9713,6.9898
121,B,100.0,120,123,OK,100.0,2.74,YES,7.0042,7.0057
122,B,100.0,120,123,OK,100.0,2.79,YES,7.0372,7.0388
123,P,100.0,120,-1,OK,100.0,14.01,YES,7.0702,7.0830
124,B,100.0,123,126,OK,100.0,2.60,YES,7.1032,7.1046
125,B,100.0,123,126,OK,100.0,2.72,YES,7.1362,7.1377
126,P,100.0,123,-1,OK,100.0,14.40,YES,7.1692,7.1824
127,B,100.0,126,129,OK,100.0,2.71,YES,7.2022,7.2037
128,B,100.0,126,129,OK,100.0,2.73,YES,7.2352,7.2367
129,P,100.0,126,-1,OK,100.0,14.44,YES,7.2682,7.2814
130,B,100.0,129,132,OK,100.0,2.75,YES,7.3012,7.3027
131,B,100.0,129,132,OK,100.0,2.86,YES,7.3342,7.3359
132,P,100.0,129,-1,OK,100.0,12.28,YES,7.3672,7.3783
133,B,100.0,132,135,OK,100.0,2.83,YES,7.4003,7.4018
134,B,100.0,132,135,OK,100.0,2.75,YES,7.4332,7.4347
135,P,100.0,132,-1,OK,100.0,12.32,YES,7.4662,7.4773
136,B,100.0,135,138,OK,100.0,2.75,YES,7.4992,7.5008
137,B,100.0,135,138,OK,100.0,2.90,YES,7.5323,7.5339
138,P,100.0,135,-1,OK,100.0,12.16,YES,7.5652,7.5762
139,B,100.0,138,141,OK,100.0,2.74,YES,7.5982,7.5997
