FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,6.0,-1,-1,N/A,6.0,18.94,YES,1.0074,1.0189
1,B,80.0,0,3,FWD_LOST,0.0,106.64,NO,1.0408,1.1396
2,B,100.0,0,3,FWD_LOST,0.0,126.18,NO,1.1458,1.1922
3,P,100.0,0,-1,FWD_LOST,0.0,196.88,NO,1.1976,1.2959
4,B,100.0,3,6,OK,100.0,219.66,NO,1.3009,1.3517
5,B,100.0,3,6,OK,100.0,237.24,NO,1.3565,1.4022
6,P,100.0,3,-1,OK,100.0,295.54,NO,1.4087,1.4935
7,B,100.0,6,9,OK,100.0,290.28,NO,1.4968,1.5213
8,B,100.0,6,9,OK,100.0,281.63,NO,1.5241,1.5456
9,P,100.0,6,-1,OK,100.0,289.88,NO,1.5476,1.5869
10,B,100.0,9,12,OK,100.0,277.91,NO,1.5890,1.6079
11,B,100.0,9,12,OK,100.0,265.45,NO,1.6099,1.6284
12,I,100.0,-1,-1,N/A,100.0,315.28,NO,1.6305,1.7113
13,B,100.0,12,15,OK,100.0,292.37,NO,1.7116,1.7214
14,B,100.0,12,15,OK,100.0,269.82,NO,1.7225,1.7318
15,P,100.0,12,-1,OK,100.0,251.34,NO,1.7329,1.7463
16,B,100.0,15,18,OK,100.0,222.41,NO,1.7467,1.7504
17,B,100.0,15,18,OK,100.0,193.44,NO,1.7508,1.7544
18,P,100.0,15,-1,OK,100.0,169.12,NO,1.7549,1.7631
19,B,100.0,18,21,OK,100.0,140.74,NO,1.7635,1.7677
20,B,100.0,18,21,OK,100.0,111.82,NO,1.7682,1.7718
21,P,100.0,18,-1,OK,100.0,87.36,NO,1.7723,1.7804
22,B,100.0,21,24,OK,100.0,58.50,NO,1.7807,1.7845
23,B,100.0,21,24,OK,100.0,29.44,YES,1.7849,1.7884
24,I,100.0,-1,-1,N/A,100.0,59.39,NO,1.7935,1.8514
25,B,100.0,24,27,OK,100.0,37.67,NO,1.8525,1.8627
26,B,100.0,24,27,OK,100.0,14.72,YES,1.8640,1.8727
27,P,100.0,24,-1,OK,100.0,12.67,YES,1.8935,1.9037
28,B,100.0,27,30,OK,100.0,6.22,YES,1.9253,1.9302
29,B,100.0,27,30,OK,100.0,5.09,YES,1.9583,1.9621
30,P,100.0,27,-1,OK,100.0,9.40,YES,1.9913,1.9994
31,B,100.0,30,33,OK,100.0,4.89,YES,2.0243,2.0279
