Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
3948,153,1,16,30,8.05916,0,0,0,0,-8059,0,0,0,0,0
3947,153,1,15,30,8.05915,0,0,0,0,-8059,0,0,0,0,0
3945,153,1,13,30,8.05913,0,0,0,0,-8059,0,0,0,0,0
3944,153,1,12,30,8.05912,0,0,0,0,-8059,0,0,0,0,0
3937,153,1,5,30,8.05905,0,0,0,0,-8059,0,0,0,0,0
3936,153,1,4,30,8.05904,0,0,0,0,-8059,0,0,0,0,0
3934,153,1,2,30,8.05902,0,0,0,0,-8059,0,0,0,0,0
3933,153,1,1,30,8.05901,0,8.55382,0,0,-8059,-8553824,0,0,0,0
3925,152,2,4,5,8.02604,0,0,0,0,-8026,0,0,0,0,0
3924,152,2,3,5,8.02603,0,0,0,0,-8026,0,0,0,0,0
3922,152,2,1,5,8.02601,0,8.52677,0,0,-8026,-8526765,0,0,0,0
3921,152,2,0,5,8.026,0,8.51318,8.51327,8.51327,487,96,0,0,0,247
3918,0,0,0,0,0,0,8.02446,8.02449,0,0,28,0,0,0,0
3909,0,0,0,0,0,0,7.99926,7.99929,0,0,32,0,0,0,0
3904,0,0,0,0,0,0,7.99306,7.99339,0,0,332,0,0,0,0
3903,151,2,3,5,7.99303,0,0,0,0,-7993,0,0,0,0,0
3871,150,1,7,30,7.96007,0,0,0,0,-7960,0,0,0,0,0
3870,150,1,6,30,7.96006,0,0,0,0,-7960,0,0,0,0,0
3868,150,1,4,30,7.96004,0,0,0,0,-7960,0,0,0,0,0
3867,150,1,3,30,7.96003,0,0,0,0,-7960,0,0,0,0,0
3865,150,1,1,30,7.96001,0,0,0,0,-7960,0,0,0,0,0
3864,150,1,0,30,7.96,0,8.45284,0,0,-7960,-8452843,0,0,0,0
3834,148,2,4,5,7.89404,0,0,0,0,-7894,0,0,0,0,0
3833,148,2,3,5,7.89403,0,0,0,0,-7894,0,0,0,0,0
3831,148,2,1,5,7.89401,0,8.38734,0,0,-7894,-8387342,0,0,0,0
3830,148,2,0,5,7.894,0,8.38068,8.38078,8.38078,486,96,0,0,0,243
3798,147,1,16,30,7.86116,0,0,0,0,-7861,0,0,0,0,0
3797,147,1,15,30,7.86115,0,0,0,0,-7861,0,0,0,0,0
3795,147,1,13,30,7.86113,0,0,0,0,-7861,0,0,0,0,0
3794,147,1,12,30,7.86112,0,0,0,0,-7861,0,0,0,0,0
3792,147,1,10,30,7.8611,0,0,0,0,-7861,0,0,0,0,0
3791,147,1,9,30,7.86109,0,0,0,0,-7861,0,0,0,0,0
3789,147,1,7,30,7.86107,0,0,0,0,-7861,0,0,0,0,0
3783,147,1,1,30,7.86101,0,0,0,0,-7861,0,0,0,0,0
3782,147,1,0,30,7.861,0,8.36131,0,0,-7861,-8361308,0,0,0,0
3779,0,0,0,0,0,0,7.85005,7.85007,0,0,28,0,0,0,0
3760,146,2,4,5,7.82804,0,0,0,0,-7828,0,0,0,0,0
3759,146,2,3,5,7.82803,0,0,0,0,-7828,0,0,0,0,0
3757,146,2,1,5,7.82801,0,8.3275,0,0,-7828,-8327502,0,0,0,0
3726,144,1,20,30,7.7622,0,0,0,0,-7762,0,0,0,0,0
3725,144,1,19,30,7.76219,0,0,0,0,-7762,0,0,0,0,0
3723,144,1,17,30,7.76217,0,0,0,0,-7762,0,0,0,0,0
3722,144,1,16,30,7.76216,0,0,0,0,-7762,0,0,0,0,0
3720,144,1,14,30,7.76214,0,0,0,0,-7762,0,0,0,0,0
3719,144,1,13,30,7.76213,0,0,0,0,-7762,0,0,0,0,0
3712,144,1,6,30,7.76206,0,0,0,0,-7762,0,0,0,0,0
3711,144,1,5,30,7.76205,0,0,0,0,-7762,0,0,0,0,0
3709,144,1,3,30,7.76203,0,0,0,0,-7762,0,0,0,0,0
3708,144,1,2,30,7.76202,0,0,0,0,-7762,0,0,0,0,0
3700,0,0,0,0,0,0,7.7421,7.74213,0,0,28,0,0,0,0
3697,0,0,0,0,0,0,7.73542,7.7355,0,0,72,0,0,0,0
3657,0,0,0,0,0,0,7.66927,7.6693,0,0,32,0,0,0,0
3656,141,1,29,30,7.66329,0,0,0,0,-7663,0,0,0,0,0
