PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
5.30811,60,I,41,7,AC VO,YES,136
5.34623,60,I,42,7,AC VO,YES,137
5.34755,60,I,43,7,AC VO,YES,138
5.35304,60,I,44,7,AC VO,YES,139
5.35992,60,I,45,7,AC VO,YES,140
5.36707,60,I,46,7,AC VO,YES,141
5.37592,60,I,47,7,AC VO,YES,142
5.37834,60,I,48,7,AC VO,YES,143
5.38551,60,I,49,7,AC VO,YES,144
5.49706,61,B,0,3,AC BE,YES,145
5.54424,62,B,0,3,AC BE,YES,146
5.71577,67,B,0,3,AC BE,YES,147
5.72359,68,B,0,3,AC BE,YES,148
5.78613,69,P,0,3,AC BE,YES,149
5.80521,70,B,0,3,AC BE,YES,150
5.85766,72,P,0,3,AC BE,YES,151
5.8601,72,P,1,3,AC BE,YES,152
5.97435,75,P,0,3,AC BE,YES,153
6.16038,81,P,0,3,AC BE,YES,154
6.20277,82,B,0,3,AC BE,YES,155
6.20384,82,B,1,3,AC BE,YES,156
6.21703,82,B,2,3,AC BE,YES,157
6.25488,84,P,0,3,AC BE,YES,158
6.34918,86,B,0,3,AC BE,YES,159
6.45573,90,P,0,3,AC BE,YES,160
6.51873,92,B,0,3,AC BE,YES,161
6.56307,93,P,0,3,AC BE,YES,162
6.60074,94,B,0,3,AC BE,YES,163
6.60149,94,B,1,3,AC BE,YES,164
6.60401,94,B,2,3,AC BE,YES,165
6.84615,102,P,0,3,AC BE,YES,166
6.85904,102,P,1,3,AC BE,YES,167
6.8631,102,P,2,3,AC BE,YES,168
6.86383,102,P,3,3,AC BE,YES,169
6.98288,120,I,0,7,AC VO,YES,170
6.98665,120,I,1,7,AC VO,YES,171
6.9891,120,I,2,7,AC VO,YES,172
7.01011,120,I,3,7,AC VO,YES,173
7.01415,120,I,4,7,AC VO,YES,174
7.03291,120,I,5,7,AC VO,YES,175
7.04311,120,I,6,7,AC VO,YES,176
7.05467,120,I,7,7,AC VO,YES,177
7.06069,120,I,8,7,AC VO,YES,178
7.06317,120,I,9,7,AC VO,YES,179
7.07088,120,I,10,7,AC VO,YES,180
7.07776,120,I,11,7,AC VO,YES,181
7.08668,120,I,12,7,AC VO,YES,182
7.09264,120,I,13,7,AC VO,YES,183
7.09396,120,I,14,7,AC VO,YES,184
7.09538,120,I,15,7,AC VO,YES,185
7.10098,120,I,16,7,AC VO,YES,186
7.1015,120,I,17,7,AC VO,YES,187
7.10845,120,I,18,7,AC VO,YES,188
7.11157,120,I,19,7,AC VO,YES,189
7.12192,120,I,20,7,AC VO,YES,190
7.13439,120,I,21,7,AC VO,YES,191
7.13914,120,I,22,7,AC VO,YES,192
7.1639,120,I,23,7,AC VO,YES,193
7.16986,120,I,24,7,AC VO,YES,194
7.18792,120,I,25,7,AC VO,YES,195
7.2007,120,I,26,7,AC VO,YES,196
7.20439,120,I,27,7,AC VO,YES,197
7.21967,120,I,28,7,AC VO,YES,198
7.22242,120,I,29,7,AC VO,YES,199
7.2341,120,I,30,7,AC VO,YES,200
7.24675,120,I,31,7,AC VO,YES,201
7.2586,120,I,32,7,AC VO,YES,202
7.26019,120,I,33,7,AC VO,YES,203
7.27067,120,I,34,7,AC VO,YES,204
7.27348,120,I,35,7,AC VO,YES,205
7.29033,120,I,36,7,AC VO,YES,206
7.29457,120,I,37,7,AC VO,YES,207
7.29645,120,I,38,7,AC VO,YES,208
7.29777,120,I,39,7,AC VO,YES,209
7.30533,120,I,40,7,AC VO,YES,210
7.31067,120,I,41,7,AC VO,YES,211
7.31726,120,I,42,7,AC VO,YES,212
